author_alias;author_ecom_level_id;author_id;cl_flow_con_live_pay_amt;cl_flow_con_live_pay_sku_order_cnt;cl_flow_con_live_pay_sub_order_cnt;cl_flow_con_pay_amt;cl_flow_con_pay_sku_order_cnt;cl_flow_con_pay_sub_order_cnt;cl_flow_con_video_pay_amt;cl_flow_con_video_pay_sku_order_cnt;cl_flow_con_video_pay_sub_order_cnt;cl_live_pay_amt;cl_live_pay_sku_order_cnt;cl_pay_commission_base_amt;cl_pay_sku_order_cnt;cl_pay_sub_order_cnt;cl_video_pay_amt;cl_video_pay_sku_order_cnt;date_range;fans_cnt_td;live_product_ctr;live_watch_cnt;pre_estimated_commission;sum_cl_pay_amt;sum_publish_ec_live_cnt;sum_publish_ec_video_cnt;tap_author_cl_pay_amt;tap_author_cl_pay_sku_order_cnt;video_product_ctr;video_watch_cnt
glowfit.club1;Lv. 5;7483243610416464902;"R$ 14.250,58";311;316;"R$ 14.802,70";318;323;"R$ 552,12";7;7;"R$ 15.161,87";328;"R$ 16.425,50";342;347;"R$ 945,42";14;2026-06-23-2026-06-23;6957;27.40%;22833;"R$ 1.695,49";"R$ 16.107,29";1;14;"R$ 0,00";0;6.38%;20115
mari.belezareal;Lv. 5;7486614588432499717;"R$ 0,00";0;0;"R$ 13.818,05";296;300;"R$ 13.818,05";296;300;"R$ 0,00";0;"R$ 14.828,99";316;320;"R$ 14.573,63";316;2026-06-23-2026-06-23;146348;0.00%;0;"R$ 1.240,28";"R$ 14.573,63";0;7;"R$ 440,37";3;2.63%;1388096
bandeira7616;Lv. 5;7452082627856794630;"R$ 10.982,93";42;63;"R$ 11.317,62";44;67;"R$ 334,69";2;4;"R$ 12.327,93";45;"R$ 13.374,78";47;71;"R$ 334,69";2;2026-06-23-2026-06-23;7209;16.64%;20142;"R$ 1.405,85";"R$ 12.662,62";2;2;"R$ 0,00";0;8.35%;2143
luanna.gomide;Lv. 5;6807131825984996357;"R$ 11.116,85";68;68;"R$ 11.116,85";68;68;"R$ 0,00";0;0;"R$ 12.254,43";75;"R$ 13.325,79";75;75;"R$ 0,00";0;2026-06-23-2026-06-23;7322;20.73%;26301;"R$ 1.207,64";"R$ 12.254,43";6;0;"R$ 0,00";0;6.51%;1076
alexxcreator;Lv. 4;7568983106017248267;"R$ 10.431,31";20;20;"R$ 10.431,31";20;20;"R$ 0,00";0;0;"R$ 10.431,31";20;"R$ 10.171,80";20;20;"R$ 0,00";0;2026-06-23-2026-06-23;3632;11.32%;5653;"R$ 863,42";"R$ 10.431,31";1;0;"R$ 0,00";0;5.33%;375
jotamatiotti;Lv. 5;6973353133683426309;"R$ 6.972,67";39;39;"R$ 8.500,31";50;50;"R$ 1.527,64";11;11;"R$ 7.041,81";40;"R$ 9.396,30";54;55;"R$ 1.790,88";13;2026-06-23-2026-06-23;22815;14.58%;11430;"R$ 663,56";"R$ 8.884,91";9;5;"R$ 0,00";0;4.49%;18949
kahrouul;Lv. 6;6812048966706185222;"R$ 7.586,75";15;15;"R$ 7.752,71";21;21;"R$ 150,37";5;5;"R$ 8.011,78";16;"R$ 8.043,38";23;24;"R$ 286,42";6;2026-06-23-2026-06-23;22951;10.97%;10041;"R$ 660,13";"R$ 8.313,79";2;0;"R$ 0,00";0;5.82%;5121
lelehelena98;Lv. 4;6789761976480728070;"R$ 6.867,54";111;112;"R$ 7.277,36";120;121;"R$ 409,82";9;9;"R$ 7.209,79";117;"R$ 7.952,37";132;133;"R$ 687,89";14;2026-06-23-2026-06-23;104482;50.42%;11452;"R$ 798,51";"R$ 7.957,58";2;12;"R$ 42,19";1;7.30%;19844
elenaratrindade;Lv. 5;6532062669149618177;"R$ 3.774,15";22;22;"R$ 5.592,36";38;38;"R$ 1.818,21";16;16;"R$ 4.459,70";26;"R$ 8.114,87";54;54;"R$ 2.975,40";27;2026-06-23-2026-06-23;33031;37.23%;11779;"R$ 728,60";"R$ 7.549,90";1;4;"R$ 0,00";0;9.43%;29077
elisdlpereira;Lv. 3;7566023901030827064;"R$ 7.252,17";14;14;"R$ 7.418,50";18;18;"R$ 166,33";4;4;"R$ 7.252,17";14;"R$ 7.208,62";18;18;"R$ 166,33";4;2026-06-23-2026-06-23;3704;8.04%;6431;"R$ 374,49";"R$ 7.418,50";3;2;"R$ 0,00";0;2.78%;1475
